ParName   Value   Gradient
mean_log_rec      13.2217 1.56633e-006
log_Rzero      13.5649 -1.08015e-006
rec_dev(-11)    -0.375883 -5.10621e-006
rec_dev(-10)    -0.433421 -3.29527e-006
rec_dev(-9)    -0.397375 -8.96122e-006
rec_dev(-8)    -0.120567 -9.24718e-006
rec_dev(-7)    -0.337904 1.21743e-006
rec_dev(-6)   -0.0202667 -1.44511e-005
rec_dev(-5)     0.141747 -1.46855e-005
rec_dev(-4)     0.181403 -1.85441e-005
rec_dev(-3)     0.203861 -1.6882e-005
rec_dev(-2)      0.22836 -2.02143e-005
rec_dev(-1)     0.332871 -1.52335e-005
rec_dev(0)     0.323253 -1.08818e-005
rec_dev(1)      0.26019 -7.69149e-006
rec_dev(2)     0.689802 -1.70524e-005
rec_dev(3)     0.387742 -7.00847e-006
rec_dev(4)     0.171769 3.71568e-006
rec_dev(5)      0.73863 2.96124e-006
rec_dev(6)     0.623141 1.07155e-005
rec_dev(7)     0.358246 9.79078e-006
rec_dev(8)     0.542088 1.06264e-005
rec_dev(9)     0.424365 8.53625e-006
rec_dev(10)       0.5885  4.3755e-006
rec_dev(11)     0.596588 2.80157e-006
rec_dev(12)     0.462798 2.18608e-006
rec_dev(13)     0.450531 3.57792e-006
rec_dev(14)     0.531777 3.44139e-006
rec_dev(15)     0.387916  7.1507e-007
rec_dev(16)     0.560737 2.01069e-006
rec_dev(17)     0.602641 5.02756e-006
rec_dev(18)     0.335536 4.13824e-006
rec_dev(19)     0.420516 1.08332e-005
rec_dev(20)     0.234079 1.53813e-005
rec_dev(21)     0.571284 2.45011e-005
rec_dev(22)     0.619762  3.9555e-005
rec_dev(23)     0.320971 3.23956e-005
rec_dev(24)     0.131924 2.46158e-005
rec_dev(25)     0.456536 1.34553e-005
rec_dev(26) 5.28044e-005 2.21037e-006
rec_dev(27)     0.187759 -6.68334e-006
rec_dev(28)     0.261533 -6.88476e-006
rec_dev(29)     0.354807 -5.88243e-006
rec_dev(30)   -0.0407957 6.47374e-007
fmort(1,1)    0.0112549 -3.82693e-005
fmort(1,2)    0.0321961 -0.000133108
fmort(1,3)     0.051886 -4.71947e-005
fmort(1,4)    0.0702864 -4.60275e-005
fmort(1,5)    0.0543504 -6.46455e-006
fmort(1,6)    0.0970818 -1.35597e-005
fmort(1,7)    0.0970293  3.9661e-006
fmort(1,8)     0.203996 -3.68405e-005
fmort(1,9)     0.120305  9.1155e-006
fmort(1,10)     0.148214 2.87201e-006
fmort(1,11)      0.17016 4.78011e-007
fmort(1,12)     0.181192 5.81751e-006
fmort(1,13)     0.130052 3.13501e-005
fmort(1,14)     0.186101 4.86721e-006
fmort(1,15)     0.194353 4.59991e-007
fmort(1,16)     0.169785 1.05997e-005
fmort(1,17)     0.335392 -1.83916e-005
fmort(1,18)     0.275502 -4.2221e-006
fmort(1,19)     0.273238 1.77706e-006
fmort(1,20)     0.270492 -5.37262e-008
fmort(1,21)     0.377281 -9.31159e-007
fmort(1,22)     0.277494 1.66998e-006
fmort(1,23)      0.45012 -1.62704e-006
fmort(1,24)     0.372609 -1.09576e-005
fmort(1,25)     0.368393  6.4869e-006
fmort(1,26)     0.340903 -9.5631e-006
fmort(1,27)     0.338137 5.17003e-006
fmort(1,28)     0.488497 1.52239e-005
fmort(1,29)     0.388157 5.39143e-005
fmort(1,30)     0.640056 -2.89846e-005
logsel_slope_fsh[1](1)     0.141007 1.97457e-007
sel50_fsh[1](1)      3.66526 1.40493e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.7358 -2.46134e-007
logsel_slope_ind[1](1)     0.482205 3.17485e-008
sel50_ind[1](1)      1.87996 8.81726e-007
repl_F    0.0355769 2.43806e-007
