ParName   Value   Gradient
SR_parm[1]      6.83086 -0.000118041
recdev_early(-11)     0.240159 -1.8627e-005
recdev_early(-10)    -0.138102 -4.07217e-006
recdev_early(-9)     0.203141 -7.87506e-006
recdev_early(-8)    -0.361526 -5.85273e-006
recdev_early(-7)   -0.0380638 -1.19466e-005
recdev_early(-6)     0.015165 -1.49638e-005
recdev_early(-5)   -0.0701622 -1.55526e-005
recdev_early(-4)     -0.15068 -1.69925e-005
recdev_early(-3)    -0.194387 -1.28295e-005
recdev_early(-2)    -0.117254 -7.7454e-006
recdev_early(-1)    -0.136017 -9.17833e-007
recdev_early(0)    -0.204244 4.30079e-006
recdev1(1)     0.239738  1.2632e-005
recdev1(2)    -0.077718  5.9476e-006
recdev1(3)    -0.312775 5.44581e-006
recdev1(4)     0.285427 8.12248e-006
recdev1(5)     0.166513 3.66653e-006
recdev1(6)    -0.115034 1.75925e-005
recdev1(7)    0.0791503 1.79611e-005
recdev1(8)   -0.0452471 1.59064e-005
recdev1(9)     0.138266 1.47117e-005
recdev1(10)      0.15043 5.68846e-006
recdev1(11)    0.0145568  8.8269e-007
recdev1(12)   0.00480844 -1.52706e-006
recdev1(13)    0.0936584 -7.61414e-006
recdev1(14)   -0.0605223 -7.37704e-006
recdev1(15)     0.124409 -1.6702e-005
recdev1(16)     0.174131 -1.4691e-005
recdev1(17)    -0.105133 -6.94247e-006
recdev1(18)    0.0052005 -1.54933e-005
recdev1(19)     -0.18555 -5.26027e-006
recdev1(20)     0.181369 -1.6981e-005
recdev1(21)     0.242836 -5.80499e-006
recdev1(22)   -0.0398561 -9.58056e-006
recdev1(23)    -0.239415 -1.00375e-005
recdev1(24)     0.130408 -2.30377e-005
recdev1(25)    -0.339263 -1.03112e-005
recdev1(26)    -0.104835 -6.43189e-006
recdev1(27)  -0.00296357 5.94386e-006
recdev1(28)     0.139947  1.1962e-005
recdev1(29)    -0.507587 1.50491e-005
recdev1(30)   -0.0349495 1.56632e-005
init_F[1]     0.121203 1.12451e-005
F_rate[1]    0.0143923 -4.86917e-005
F_rate[2]    0.0394158 -6.02541e-005
F_rate[3]    0.0615057 -3.26571e-005
F_rate[4]    0.0813548 3.89617e-005
F_rate[5]      0.06165  5.4037e-005
F_rate[6]     0.108324 9.46394e-006
F_rate[7]        0.107 -1.95394e-005
F_rate[8]     0.223268 -5.50261e-006
F_rate[9]     0.130749 -3.56208e-005
F_rate[10]     0.159647 7.70923e-006
F_rate[11]     0.182118 1.03015e-005
F_rate[12]     0.192906 -1.82395e-005
F_rate[13]     0.137602  3.0164e-005
F_rate[14]     0.195609 1.28274e-005
F_rate[15]     0.203172 2.30134e-005
F_rate[16]     0.176626 -1.27478e-005
F_rate[17]     0.348004 -8.79392e-007
F_rate[18]     0.285448 1.30667e-006
F_rate[19]     0.282465 3.34686e-006
F_rate[20]     0.278782 8.01421e-006
F_rate[21]     0.387997 -8.80937e-007
F_rate[22]     0.284869 -9.70971e-006
F_rate[23]     0.461655 -2.08565e-005
F_rate[24]     0.381378 2.64026e-005
F_rate[25]      0.37484 1.68823e-005
F_rate[26]     0.344019 -3.55608e-005
F_rate[27]     0.338448 3.16823e-005
F_rate[28]     0.483799 -2.16733e-005
F_rate[29]     0.378476 9.93713e-006
F_rate[30]     0.609135 -1.10947e-005
Q_parm[1]     -7.79938  -1.292e-006
selparm[1]      3.75223 -1.19486e-005
selparm[2]      2.61922 4.99317e-006
selparm[3]      1.94312 -1.64503e-006
selparm[4]       1.9022 -3.27574e-008
