ParName   Value   Gradient
mean_log_rec      13.7483 2.09633e-007
log_Rzero      13.7868  -2.467e-007
rec_dev(-11)    -0.065938 -1.29277e-006
rec_dev(-10)   -0.0794561 -1.47062e-006
rec_dev(-9)   -0.0857738 -5.79378e-007
rec_dev(-8)    -0.171823 -2.84425e-007
rec_dev(-7)   -0.0632485 -1.41641e-006
rec_dev(-6)     0.117125 -1.65195e-006
rec_dev(-5)   -0.0380056  -1.539e-006
rec_dev(-4)     0.081113 -2.20995e-006
rec_dev(-3)    0.0934046 -2.22137e-006
rec_dev(-2)    0.0191488 -1.90755e-006
rec_dev(-1)     0.130329 -2.01323e-006
rec_dev(0)    0.0237163 -1.65004e-006
rec_dev(1)    0.0378671 -1.52701e-006
rec_dev(2)    0.0588867 -1.35651e-006
rec_dev(3)    -0.207164 -8.25947e-007
rec_dev(4)     0.257422 -1.73599e-006
rec_dev(5)     0.250503 -1.78549e-006
rec_dev(6)      0.20068 -1.39308e-006
rec_dev(7)     0.192175 -1.13931e-006
rec_dev(8)    0.0840031 -6.30635e-007
rec_dev(9)   -0.0184934 -4.09417e-007
rec_dev(10)   0.00629971 -1.47525e-007
rec_dev(11)     0.108815 -1.84187e-007
rec_dev(12)    -0.108724  4.1115e-008
rec_dev(13)   -0.0770017 4.78913e-008
rec_dev(14)    -0.252942 7.53028e-008
rec_dev(15)    0.0259982 -4.44165e-007
rec_dev(16)   -0.0828066 -7.41484e-007
rec_dev(17)    -0.519704 -2.06784e-007
rec_dev(18)     0.104137 -2.20925e-006
rec_dev(19)     0.397004 -4.57574e-006
rec_dev(20)    -0.293468 -3.3174e-007
rec_dev(21)    -0.434301  1.0258e-006
rec_dev(22)    0.0581949 2.68462e-006
rec_dev(23)   0.00939884 4.63369e-006
rec_dev(24)    0.0795025 6.96919e-006
rec_dev(25)    -0.291767 6.60895e-006
rec_dev(26)    -0.472622 6.43233e-006
rec_dev(27)    -0.104412  7.7549e-006
rec_dev(28)    -0.417959 4.61399e-006
rec_dev(29)    -0.287688 2.53123e-006
rec_dev(30)   -0.0631687  6.6417e-007
fmort(1,1)   0.00933308 -1.35339e-005
fmort(1,2)    0.0268887 -9.66989e-006
fmort(1,3)    0.0452564 -2.89048e-006
fmort(1,4)      0.06083 -1.6546e-006
fmort(1,5)    0.0482803 -2.05132e-006
fmort(1,6)    0.0880126 -8.95567e-007
fmort(1,7)    0.0881657 -1.00325e-006
fmort(1,8)       0.1887 -3.35047e-008
fmort(1,9)     0.111225 -1.03709e-006
fmort(1,10)      0.13482 -9.32237e-007
fmort(1,11)     0.153374 -4.10643e-007
fmort(1,12)     0.164763 -4.75779e-007
fmort(1,13)     0.118845 -1.22167e-007
fmort(1,14)     0.172917 1.19646e-007
fmort(1,15)     0.183423 1.13092e-006
fmort(1,16)     0.165357  1.3358e-006
fmort(1,17)     0.319799 1.89086e-007
fmort(1,18)     0.261581 1.11699e-007
fmort(1,19)     0.256737  8.8832e-007
fmort(1,20)      0.25261 2.31987e-007
fmort(1,21)     0.348295 -2.91579e-007
fmort(1,22)     0.251733 -2.78417e-006
fmort(1,23)     0.412013 -2.46091e-006
fmort(1,24)     0.338491 -2.92586e-006
fmort(1,25)     0.336103 -2.4171e-006
fmort(1,26)      0.30803 -2.2695e-006
fmort(1,27)      0.29904 -2.01498e-006
fmort(1,28)     0.417929 -1.7872e-006
fmort(1,29)     0.313047 2.13972e-006
fmort(1,30)     0.473919 7.18492e-006
logsel_slope_fsh[1](1)  -0.00992261 -2.05395e-008
sel50_fsh[1](1)      2.05808  1.2625e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8865 -5.33421e-008
logsel_slope_ind[1](1)     0.725779 4.64608e-008
sel50_ind[1](1)      1.51558 7.56574e-008
repl_F     0.108299 7.77259e-008
