ParName   Value   Gradient
SR_parm[1]       6.9113 5.65528e-005
recdev_early(-11)    -0.105363 -2.08152e-005
recdev_early(-10)     0.117185 -3.7208e-006
recdev_early(-9)     0.021271 -6.17257e-006
recdev_early(-8)      0.21173 -7.41356e-006
recdev_early(-7)   -0.0210783 -6.79406e-006
recdev_early(-6)    -0.237705 -7.30877e-006
recdev_early(-5)    0.0118348 -8.36817e-006
recdev_early(-4)     -0.09418 -7.26869e-006
recdev_early(-3)    0.0686591 -7.28279e-006
recdev_early(-2)    0.0917296 -4.38968e-006
recdev_early(-1)    0.0238205 -5.94435e-006
recdev_early(0)     0.101357 -1.90394e-006
recdev1(1)     0.103805 -1.29849e-005
recdev1(2)   -0.0624719 -1.34972e-005
recdev1(3)  -0.00352666 -1.05642e-005
recdev1(4)     0.173451 -8.61652e-006
recdev1(5)     0.167266 -1.08613e-005
recdev1(6)     0.245169 -9.71219e-006
recdev1(7)     0.128696 -1.17787e-005
recdev1(8)     0.112384 -1.3428e-005
recdev1(9)   -0.0131902 -1.13327e-005
recdev1(10)     0.226558 -1.37446e-005
recdev1(11)    -0.314769 -1.64255e-005
recdev1(12)  -0.00504173 -1.23875e-005
recdev1(13)      0.10909 -7.86124e-006
recdev1(14)     -0.15519 -7.13743e-006
recdev1(15)     0.214895 6.10895e-006
recdev1(16)    -0.161959 1.87526e-006
recdev1(17)     0.149764 2.25531e-005
recdev1(18)    -0.101842 1.85211e-005
recdev1(19)     0.113575 3.63944e-005
recdev1(20)    -0.460057 9.97673e-006
recdev1(21)     0.147574 5.26656e-005
recdev1(22)     0.107654 4.98781e-005
recdev1(23)   -0.0549687 2.95337e-005
recdev1(24)    -0.364528 6.27909e-006
recdev1(25)     0.110789 6.49514e-006
recdev1(26)      -0.2513 -1.06562e-005
recdev1(27)    -0.233853 -1.79494e-005
recdev1(28)  -0.00756603 -2.07689e-005
recdev1(29)    0.0652845 -1.5709e-005
recdev1(30)    0.0143079 -1.35318e-005
init_F[1]   0.00431564 2.39711e-006
F_rate[1]   0.00932962 -4.15457e-005
F_rate[2]    0.0268641 -1.6952e-005
F_rate[3]    0.0437492 -1.5421e-005
F_rate[4]    0.0597876 -2.26461e-005
F_rate[5]     0.048294 2.55266e-006
F_rate[6]    0.0866649 1.37274e-006
F_rate[7]     0.089275 9.83773e-007
F_rate[8]     0.188558 5.65313e-007
F_rate[9]      0.11136 5.40796e-006
F_rate[10]     0.136907 5.93213e-006
F_rate[11]     0.155617 3.25747e-006
F_rate[12]     0.168602 7.94665e-007
F_rate[13]     0.120895 4.57622e-006
F_rate[14]     0.172738 -1.64771e-006
F_rate[15]     0.184151 -4.03901e-006
F_rate[16]     0.163485 -7.62759e-006
F_rate[17]     0.319831 -9.0097e-006
F_rate[18]     0.259887 -9.84675e-006
F_rate[19]     0.260854 -9.51318e-006
F_rate[20]     0.258701 -1.05024e-005
F_rate[21]     0.359598 -1.01812e-005
F_rate[22]     0.263927 -8.54383e-006
F_rate[23]     0.431222 -1.27364e-005
F_rate[24]     0.356813 -7.71082e-006
F_rate[25]     0.353131 -1.31816e-006
F_rate[26]     0.324476 6.62767e-006
F_rate[27]     0.315975 1.05579e-005
F_rate[28]     0.439094 1.22465e-005
F_rate[29]     0.330582 2.02528e-005
F_rate[30]     0.495235 -9.71264e-006
Q_parm[1]     -7.97317 -3.13314e-006
selparm[1]      2.01193 1.31894e-005
selparm[2]      3.34381 4.85561e-007
selparm[3]      1.46636 9.36828e-007
selparm[4]      1.47198 -3.51503e-007
