ParName   Value   Gradient
SR_parm[1]      6.88529  0.000117378
recdev_early(-11)    0.0877595  0.000119641
recdev_early(-10)   -0.0497639 6.58761e-006
recdev_early(-9)   -0.0842906  9.6388e-006
recdev_early(-8)    0.0318351 4.99886e-005
recdev_early(-7)   -0.0412737 3.69044e-005
recdev_early(-6)    0.0239134  3.4604e-005
recdev_early(-5)    -0.117045 3.55876e-005
recdev_early(-4)    0.0052202 4.70369e-005
recdev_early(-3)    0.0513785 4.95886e-005
recdev_early(-2)    0.0722638 4.58787e-005
recdev_early(-1)     0.014556 3.89869e-005
recdev_early(0)   -0.0145514 3.50242e-005
recdev1(1)    -0.164655 2.87498e-005
recdev1(2)     0.101125 2.31933e-005
recdev1(3)     0.410346 1.61195e-005
recdev1(4)    0.0176609 1.36437e-005
recdev1(5)     0.111537 1.09802e-005
recdev1(6)     -0.11096  1.0362e-005
recdev1(7)     0.331878 7.11965e-006
recdev1(8)     -0.15123 5.34559e-006
recdev1(9)     0.204642 3.09428e-006
recdev1(10)     0.173701 4.41164e-008
recdev1(11)    -0.195025 7.15078e-007
recdev1(12)   -0.0804135 -7.14946e-006
recdev1(13)  -0.00146844 -9.88205e-006
recdev1(14)    -0.271861 -7.30351e-006
recdev1(15)   -0.0867875 -1.03898e-005
recdev1(16)    0.0512839 -1.30072e-005
recdev1(17)    -0.218426 -1.04123e-005
recdev1(18)     0.268563 -2.70043e-005
recdev1(19)   -0.0712937 -2.13618e-005
recdev1(20)    -0.106422 -2.28265e-005
recdev1(21)      0.26091 -3.90908e-005
recdev1(22)    -0.331294 -1.03307e-005
recdev1(23)     -0.36637 -5.46989e-006
recdev1(24)    0.0994462 -9.71587e-006
recdev1(25)   -0.0168137 1.43277e-005
recdev1(26)     -0.16478 2.25379e-005
recdev1(27)    0.0935919 2.23905e-005
recdev1(28)    0.0101744 1.13124e-005
recdev1(29)     0.201656  3.7122e-006
recdev1(30)   0.00128389 8.48145e-007
init_F[1]   0.00780651 -1.73441e-005
F_rate[1]   0.00934884  0.000142835
F_rate[2]    0.0271704 7.13893e-005
F_rate[3]     0.045354 4.69742e-005
F_rate[4]    0.0611424 3.08921e-005
F_rate[5]    0.0488593 2.94825e-005
F_rate[6]    0.0866711 1.54088e-005
F_rate[7]    0.0889606 1.34512e-005
F_rate[8]     0.184456 4.29465e-006
F_rate[9]     0.107838 4.67616e-006
F_rate[10]     0.131749 2.28355e-007
F_rate[11]     0.151059 -1.07605e-006
F_rate[12]     0.161186 1.59074e-006
F_rate[13]     0.115969 -5.26623e-007
F_rate[14]     0.167224 6.52184e-006
F_rate[15]      0.18191 3.03215e-006
F_rate[16]     0.161137 2.21498e-006
F_rate[17]     0.314394 2.06307e-006
F_rate[18]     0.260498 2.20971e-006
F_rate[19]     0.256114 4.16577e-006
F_rate[20]     0.249597 2.88638e-006
F_rate[21]     0.342676 2.59914e-006
F_rate[22]     0.249045  6.5407e-006
F_rate[23]     0.410889 4.62132e-006
F_rate[24]     0.343361 -1.22872e-006
F_rate[25]      0.34463 -5.14922e-006
F_rate[26]     0.316716 -1.00232e-005
F_rate[27]     0.311758 -2.37351e-005
F_rate[28]      0.44098 -1.25686e-005
F_rate[29]     0.330538 6.03006e-006
F_rate[30]     0.509946 1.72485e-005
Q_parm[1]     -7.96556 2.86352e-007
selparm[1]      2.04408 -1.52964e-005
selparm[2]      2.93089 -1.27728e-006
selparm[3]       1.5299 4.46599e-006
selparm[4]      1.55278  -1.173e-006
